station,valid,tmpc,drct,sped
BOS,2021-11-10 00:54,12.22,0.00,0.00
BOS,2021-11-10 01:54,12.78,350.00,4.60
BOS,2021-11-10 02:54,12.22,360.00,6.90
BOS,2021-11-10 03:54,12.22,360.00,5.75
BOS,2021-11-10 04:54,11.67,10.00,4.60
BOS,2021-11-10 05:54,11.67,360.00,4.60
BOS,2021-11-10 06:54,11.67,330.00,4.60
BOS,2021-11-10 07:54,11.67,330.00,8.05
BOS,2021-11-10 08:54,11.67,340.00,9.20
BOS,2021-11-10 09:54,12.78,350.00,9.20
BOS,2021-11-10 10:54,13.89,320.00,6.90
BOS,2021-11-10 11:54,14.44,300.00,12.65
BOS,2021-11-10 12:54,16.11,290.00,12.65
BOS,2021-11-10 13:54,16.67,320.00,13.80
BOS,2021-11-10 14:54,16.11,310.00,18.40
BOS,2021-11-10 15:54,15.56,320.00,11.50
BOS,2021-11-10 16:54,13.89,350.00,12.65
BOS,2021-11-10 17:54,12.78,340.00,12.65
BOS,2021-11-10 18:54,11.67,340.00,9.20
BOS,2021-11-10 19:54,11.11,350.00,6.90
BOS,2021-11-10 20:54,10.56,280.00,6.90
BOS,2021-11-10 21:54,10.00,300.00,4.60
BOS,2021-11-10 22:54,9.44,290.00,6.90
BOS,2021-11-10 23:54,8.89,300.00,9.20
BOS,2021-11-11 00:54,8.33,290.00,8.05
BOS,2021-11-11 01:54,7.22,280.00,9.20
BOS,2021-11-11 02:54,7.22,290.00,8.05
BOS,2021-11-11 03:54,6.11,290.00,5.75
BOS,2021-11-11 04:54,6.11,300.00,6.90
BOS,2021-11-11 05:54,5.56,300.00,8.05
BOS,2021-11-11 06:54,6.11,320.00,3.45
BOS,2021-11-11 07:54,8.33,0.00,0.00
BOS,2021-11-11 08:54,9.44,330.00,5.75
BOS,2021-11-11 09:54,11.67,0.00,0.00
BOS,2021-11-11 10:54,11.11,90.00,4.60
BOS,2021-11-11 11:54,11.11,100.00,8.05
BOS,2021-11-11 12:54,11.11,90.00,6.90
BOS,2021-11-11 13:54,11.11,90.00,10.35
BOS,2021-11-11 14:54,10.00,100.00,11.50
BOS,2021-11-11 15:54,10.56,110.00,11.50
BOS,2021-11-11 16:54,10.56,130.00,10.35
BOS,2021-11-11 17:54,10.56,120.00,11.50
BOS,2021-11-11 18:54,10.56,140.00,11.50
BOS,2021-11-11 19:54,10.00,150.00,13.80
BOS,2021-11-11 20:54,10.00,130.00,12.65
BOS,2021-11-11 21:54,10.00,130.00,12.65
BOS,2021-11-11 22:54,10.00,140.00,14.95
BOS,2021-11-11 23:54,10.00,130.00,12.65
BOS,2021-11-12 00:54,10.56,120.00,12.65
BOS,2021-11-12 01:54,10.56,130.00,12.65
BOS,2021-11-12 02:54,10.56,130.00,12.65
BOS,2021-11-12 03:54,11.11,120.00,16.10
BOS,2021-11-12 04:54,11.67,120.00,17.25
BOS,2021-11-12 05:54,11.67,120.00,16.10
BOS,2021-11-12 06:54,11.67,120.00,14.95
BOS,2021-11-12 07:54,12.78,130.00,17.25
BOS,2021-11-12 08:54,12.78,130.00,19.55
BOS,2021-11-12 09:14,12.78,140.00,25.30
BOS,2021-11-12 09:54,13.33,140.00,20.70
BOS,2021-11-12 10:54,13.89,140.00,24.15
BOS,2021-11-12 11:54,13.89,140.00,17.25
BOS,2021-11-12 12:33,15.00,150.00,21.85
BOS,2021-11-12 12:54,15.56,150.00,25.30
BOS,2021-11-12 13:54,15.56,160.00,23.00
BOS,2021-11-12 13:59,15.56,160.00,23.00
BOS,2021-11-12 14:07,15.56,160.00,27.60
BOS,2021-11-12 14:23,16.11,160.00,25.30
BOS,2021-11-12 14:40,16.11,150.00,32.20
BOS,2021-11-12 14:54,16.11,170.00,29.90
BOS,2021-11-12 15:02,16.11,170.00,31.05
BOS,2021-11-12 15:16,16.67,170.00,31.05
BOS,2021-11-12 15:25,17.22,180.00,36.80
BOS,2021-11-12 15:35,16.67,170.00,29.90
BOS,2021-11-12 15:54,16.67,180.00,32.20
BOS,2021-11-12 16:17,16.67,190.00,25.30
BOS,2021-11-12 16:28,16.67,190.00,23.00
