station,valid,tmpc,drct,sped
BDL,2023-06-01 00:51,16.11,180.00,6.90
BDL,2023-06-01 01:51,15.00,190.00,3.45
BDL,2023-06-01 02:51,14.44,190.00,3.45
BDL,2023-06-01 03:51,13.33,180.00,5.75
BDL,2023-06-01 04:51,11.67,0.00,0.00
BDL,2023-06-01 05:51,11.67,0.00,0.00
BDL,2023-06-01 06:51,13.89,30.00,4.60
BDL,2023-06-01 07:51,16.11,0.00,0.00
BDL,2023-06-01 08:51,18.89,30.00,5.75
BDL,2023-06-01 09:51,21.67,,3.45
BDL,2023-06-01 10:51,25.56,30.00,4.60
BDL,2023-06-01 11:51,27.22,,4.60
BDL,2023-06-01 12:51,29.44,,3.45
BDL,2023-06-01 13:51,31.11,0.00,0.00
BDL,2023-06-01 14:51,32.22,,3.45
BDL,2023-06-01 15:51,32.22,40.00,4.60
BDL,2023-06-01 16:51,32.78,360.00,5.75
BDL,2023-06-01 17:51,32.22,20.00,3.45
BDL,2023-06-01 18:51,31.67,0.00,0.00
BDL,2023-06-01 19:51,27.22,200.00,10.35
BDL,2023-06-01 20:51,25.00,180.00,10.35
BDL,2023-06-01 21:51,23.33,190.00,6.90
BDL,2023-06-01 22:51,22.22,180.00,8.05
BDL,2023-06-01 23:51,21.11,170.00,8.05
BDL,2023-06-02 00:51,19.44,170.00,5.75
BDL,2023-06-02 01:51,18.33,180.00,3.45
BDL,2023-06-02 02:51,17.22,20.00,3.45
BDL,2023-06-02 03:51,15.56,0.00,0.00
BDL,2023-06-02 04:51,15.00,0.00,0.00
BDL,2023-06-02 05:51,15.56,20.00,3.45
BDL,2023-06-02 06:51,18.33,20.00,3.45
BDL,2023-06-02 07:51,20.56,20.00,4.60
BDL,2023-06-02 08:51,24.44,20.00,8.05
BDL,2023-06-02 09:51,26.67,30.00,5.75
BDL,2023-06-02 10:51,28.89,30.00,6.90
BDL,2023-06-02 11:51,31.11,50.00,3.45
BDL,2023-06-02 12:51,32.22,,4.60
BDL,2023-06-02 13:51,32.78,0.00,0.00
BDL,2023-06-02 14:51,33.89,330.00,13.80
BDL,2023-06-02 15:51,31.11,310.00,11.50
BDL,2023-06-02 16:36,28.33,80.00,14.95
BDL,2023-06-02 16:51,28.33,110.00,10.35
BDL,2023-06-02 17:51,27.22,100.00,6.90
BDL,2023-06-02 18:51,26.67,,4.60
BDL,2023-06-02 19:09,23.33,10.00,13.80
BDL,2023-06-02 19:14,22.78,350.00,9.20
BDL,2023-06-02 19:51,21.11,290.00,5.75
BDL,2023-06-02 20:00,21.11,300.00,9.20
BDL,2023-06-02 20:51,21.11,60.00,3.45
BDL,2023-06-02 21:51,20.56,10.00,10.35
BDL,2023-06-02 22:51,20.00,360.00,4.60
BDL,2023-06-02 23:51,20.00,10.00,12.65
BDL,2023-06-03 00:51,20.00,230.00,8.05
BDL,2023-06-03 01:23,19.44,10.00,10.35
BDL,2023-06-03 01:51,19.44,30.00,8.05
BDL,2023-06-03 02:47,18.00,50.00,9.20
BDL,2023-06-03 02:51,17.78,50.00,11.50
BDL,2023-06-03 03:02,17.22,50.00,13.80
BDL,2023-06-03 03:26,16.67,40.00,11.50
BDL,2023-06-03 03:51,16.67,60.00,9.20
BDL,2023-06-03 04:31,16.11,30.00,16.10
BDL,2023-06-03 04:47,16.00,40.00,12.65
BDL,2023-06-03 04:51,15.56,30.00,14.95
BDL,2023-06-03 05:51,15.00,20.00,11.50
BDL,2023-06-03 06:27,15.00,30.00,11.50
BDL,2023-06-03 06:37,15.00,30.00,12.65
BDL,2023-06-03 06:51,15.00,50.00,10.35
BDL,2023-06-03 07:14,14.44,40.00,16.10
BDL,2023-06-03 07:51,14.44,30.00,11.50
BDL,2023-06-03 08:32,14.44,40.00,12.65
BDL,2023-06-03 08:51,14.44,40.00,12.65
BDL,2023-06-03 09:10,14.44,40.00,13.80
BDL,2023-06-03 09:44,14.44,80.00,10.35
BDL,2023-06-03 09:51,13.89,60.00,10.35
BDL,2023-06-03 10:02,14.44,60.00,8.05
BDL,2023-06-03 10:51,15.00,90.00,10.35
BDL,2023-06-03 11:51,16.11,50.00,12.65
BDL,2023-06-03 12:51,16.11,30.00,11.50
BDL,2023-06-03 13:51,16.11,20.00,13.80
BDL,2023-06-03 14:41,16.67,40.00,16.10
BDL,2023-06-03 14:51,16.67,50.00,16.10
BDL,2023-06-03 15:27,15.56,50.00,16.10
BDL,2023-06-03 15:51,15.56,50.00,14.95
BDL,2023-06-03 16:51,15.56,40.00,19.55
BDL,2023-06-03 17:51,13.33,40.00,17.25
BDL,2023-06-03 18:51,12.78,30.00,12.65
BDL,2023-06-03 19:51,12.22,40.00,13.80
BDL,2023-06-03 20:15,11.67,40.00,11.50
BDL,2023-06-03 20:43,11.67,30.00,12.65
BDL,2023-06-03 20:51,11.67,30.00,13.80
BDL,2023-06-03 21:51,10.56,50.00,13.80
BDL,2023-06-03 22:51,10.56,20.00,9.20
BDL,2023-06-03 23:01,10.56,20.00,8.05
BDL,2023-06-03 23:51,10.56,20.00,6.90
BDL,2023-06-04 00:14,10.00,10.00,6.90
BDL,2023-06-04 00:51,10.00,20.00,9.20
BDL,2023-06-04 01:20,10.00,360.00,5.75
BDL,2023-06-04 01:44,9.44,350.00,3.45
BDL,2023-06-04 01:51,8.89,330.00,4.60
BDL,2023-06-04 02:51,9.44,330.00,5.75
BDL,2023-06-04 03:51,9.44,320.00,4.60
