station,valid,tmpc,drct,sped
CWIT,2022-01-01 00:00,0.56,120.00,2.30
CWIT,2022-01-01 01:00,-0.78,120.00,4.60
CWIT,2022-01-01 02:00,-0.11,130.00,2.30
CWIT,2022-01-01 03:00,-0.22,120.00,3.45
CWIT,2022-01-01 04:00,0.56,120.00,4.60
CWIT,2022-01-01 05:00,1.00,90.00,3.45
CWIT,2022-01-01 06:00,0.72,130.00,4.60
CWIT,2022-01-01 07:00,1.28,130.00,5.75
CWIT,2022-01-01 08:00,1.67,130.00,6.90
CWIT,2022-01-01 09:00,2.39,160.00,8.05
CWIT,2022-01-01 10:00,2.78,150.00,2.30
CWIT,2022-01-01 11:00,2.50,290.00,2.30
CWIT,2022-01-01 12:00,2.78,170.00,1.15
CWIT,2022-01-01 13:00,3.00,280.00,2.30
CWIT,2022-01-01 14:00,2.22,340.00,1.15
CWIT,2022-01-01 15:00,1.50,310.00,4.60
CWIT,2022-01-01 16:00,1.00,280.00,2.30
CWIT,2022-01-01 17:00,1.00,300.00,3.45
CWIT,2022-01-01 18:00,0.72,300.00,4.60
CWIT,2022-01-01 19:00,0.78,300.00,4.60
CWIT,2022-01-01 20:00,0.72,290.00,3.45
CWIT,2022-01-01 21:00,0.72,260.00,4.60
CWIT,2022-01-01 22:00,0.72,320.00,3.45
CWIT,2022-01-01 23:00,-0.61,20.00,6.90
CWIT,2022-01-02 00:00,-1.39,20.00,5.75
CWIT,2022-01-02 01:00,-2.00,20.00,5.75
CWIT,2022-01-02 02:00,-3.00,30.00,6.90
CWIT,2022-01-02 03:00,-3.11,20.00,5.75
CWIT,2022-01-02 04:00,-4.72,20.00,8.05
CWIT,2022-01-02 05:00,-4.50,50.00,6.90
CWIT,2022-01-02 06:00,-5.78,30.00,2.30
CWIT,2022-01-02 07:00,-6.22,10.00,4.60
CWIT,2022-01-02 08:00,-7.00,20.00,5.75
CWIT,2022-01-02 09:00,-8.00,350.00,9.20
