station,valid,tmpc,drct,sped
PUB,2022-11-01 00:53,5.00,340.00,3.45
PUB,2022-11-01 01:53,3.33,240.00,5.75
PUB,2022-11-01 02:53,3.33,260.00,6.90
PUB,2022-11-01 03:53,3.33,250.00,4.60
PUB,2022-11-01 04:53,0.56,270.00,8.05
PUB,2022-11-01 05:53,1.67,280.00,8.05
PUB,2022-11-01 06:53,0.56,270.00,9.20
PUB,2022-11-01 07:53,1.11,260.00,8.05
PUB,2022-11-01 08:53,6.67,250.00,5.75
PUB,2022-11-01 09:53,10.56,270.00,5.75
PUB,2022-11-01 10:53,14.44,260.00,6.90
PUB,2022-11-01 11:53,17.78,0.00,0.00
PUB,2022-11-01 12:53,21.11,,3.45
PUB,2022-11-01 13:53,22.78,120.00,6.90
PUB,2022-11-01 14:53,24.44,100.00,6.90
PUB,2022-11-01 15:22,25.00,180.00,9.20
PUB,2022-11-01 15:53,25.56,160.00,14.95
PUB,2022-11-01 16:53,23.33,150.00,13.80
PUB,2022-11-01 17:53,20.56,150.00,6.90
PUB,2022-11-01 18:53,17.22,260.00,3.45
PUB,2022-11-01 19:53,13.33,0.00,0.00
PUB,2022-11-01 20:53,10.00,260.00,3.45
PUB,2022-11-01 21:53,11.67,280.00,6.90
PUB,2022-11-01 22:53,10.56,290.00,6.90
PUB,2022-11-01 23:53,7.78,0.00,0.00
PUB,2022-11-02 00:53,6.11,340.00,3.45
PUB,2022-11-02 01:53,5.56,210.00,3.45
PUB,2022-11-02 02:53,4.44,30.00,3.45
PUB,2022-11-02 03:53,8.33,10.00,10.35
PUB,2022-11-02 04:53,7.22,20.00,4.60
PUB,2022-11-02 05:53,4.44,260.00,4.60
PUB,2022-11-02 06:53,6.67,310.00,6.90
PUB,2022-11-02 07:53,8.89,270.00,13.80
PUB,2022-11-02 08:53,11.11,270.00,8.05
PUB,2022-11-02 09:53,16.11,260.00,5.75
PUB,2022-11-02 10:53,17.22,260.00,8.05
PUB,2022-11-02 11:53,18.89,190.00,8.05
PUB,2022-11-02 12:53,20.56,150.00,9.20
PUB,2022-11-02 13:53,22.78,,4.60
PUB,2022-11-02 14:53,23.89,50.00,8.05
PUB,2022-11-02 15:53,23.89,160.00,3.45
PUB,2022-11-02 16:53,24.44,20.00,3.45
PUB,2022-11-02 17:53,20.00,180.00,4.60
PUB,2022-11-02 18:53,18.33,200.00,13.80
PUB,2022-11-02 19:53,17.22,230.00,10.35
PUB,2022-11-02 20:53,14.44,240.00,10.35
PUB,2022-11-02 21:53,9.44,280.00,6.90
PUB,2022-11-02 22:53,12.78,200.00,8.05
PUB,2022-11-02 23:53,14.44,230.00,8.05
PUB,2022-11-03 00:53,8.89,170.00,4.60
PUB,2022-11-03 01:53,7.78,350.00,5.75
PUB,2022-11-03 02:53,7.78,350.00,8.05
PUB,2022-11-03 03:53,5.56,320.00,3.45
PUB,2022-11-03 04:53,4.44,0.00,0.00
PUB,2022-11-03 05:53,4.44,20.00,9.20
